COUNT,AricleTile,ACTIONABLE,CATEGORY,IMPACT,EMPIRICAL EVIDENCE,CONFIDENCE,SOUND,PRECISE
115,A case study of implicit mentoring its prevalence and impact in Apache,Emphasize the extent to which a project receives (implicit) mentorship by automatically identifying these instances.,New Contributor Onboarding and Involvement,Better onboarding experience for new contributors,Emphasizing the extent of implicit mentorship can attract newcomers and provide a better onboarding experience for new contributors.,0.6,YES,YES
18,A case study of implicit mentoring its prevalence and impact in Apache,Utilize lightweight mechanisms to acknowledge mentors- such as attribution tags like @mentor in PR comments,Community Collaboration and Engagement,Enhanced community engagement and collaboration,Acknowledging mentors' efforts encouraged them to continue contributing to the project.,0.8,YES,YES
1681,A case study of implicit mentoring its prevalence and impact in Apache,Encourage mentors to provide feedback on pull requests (PRs) by acknowledging their efforts and contributions,Code Standards and Maintainability,Improved code quality and maintainability,The study found that mentors provided valuable feedback- which helped improve code quality and maintainability,0.9,YES,YES
251,A case study of implicit mentoring its prevalence and impact in Apache,Create an appreciative community where mentoring activities are visible- and mentors are acknowledged,Community Collaboration and Engagement,Increased learning opportunities for mentees,Mentoring activities led to increased learning opportunities for mentees.,0.6,YES,NO
1061,A case study of open source software development:the Apache server,Create and maintain documentation for the project,Documentation Practices,Improved code comprehension- easier onboarding of new contributors- and reduced time spent answering questions about the code,The article mentions that the Apache server has extensive documentation- which helps in these areas,0.8,YES,YES
1059,A case study of open source software development:the Apache server,Promote code review practices,Code Standards and Maintainability,Improved code quality- reduced bugs- and increased knowledge sharing among developers,The article mentions that the Apache server has a strong culture of code reviews- which contributes to its success,0.9,YES,YES
1058,A case study of open source software development:the Apache server,Implement a well-defined release process,CI/CD and DevOps Automation,Improved code quality- reduced bugs- and increased user satisfaction,The article mentions that the Apache server has a predictable release cycle- which helps ensure stable releases,0.8,YES,YES
1060,A case study of open source software development:the Apache server,Establish a decision-making process,Code Standards and Maintainability,Improved project direction- increased contributor engagement- and reduced conflicts,The article mentions that the Apache server has a well-defined decision-making process- which contributes to its success,0.8,YES,YES
1062,A case study of open source software development:the Apache server,Provide training and support for new contributors,New Contributor Onboarding and Involvement,Increased contributor engagement- improved code quality- and reduced time spent answering questions about the code,The article mentions that the Apache server provides documentation and resources for new contributors- which helps in these areas,0.8,YES,YES
1057,A case study of open source software development:the Apache server,Encourage community involvement and collaboration,Community Collaboration and Engagement,Increased development speed- better code quality- and a broader knowledge base,The article mentions that the Apache server has a large and active community- which contributes to its success,0.9,YES,YES
457,A case study of open source software development:the Apache server,Establish a clear project vision- mission- and goals,Project Management and Governance,Better project management,NONE,0.5,YES,NO
,A case study of the evolution of Jun: an object-oriented open-source 3D multimedia library,"Use open-source development to drive higher quality code, as developers are motivated to produce better code knowing it will be publicly inspected.",Code Standards and Maintainability,Authors suggest this leads to higher quality programs,Authors cite interviews with Jun team members who reported spending more time and effort on Jun development compared to conventional projects due to public scrutiny.,,,
,A case study of the evolution of Jun: an object-oriented open-source 3D multimedia library,Implement strong project leadership to guide development and maintain trust with contributors. The project leader should carefully select which contributions and projects to incorporate.,Project Management and Governance,Maintains trust and dependability in the project's long-term direction,NONE,,,
,A case study of the evolution of Jun: an object-oriented open-source 3D multimedia library,"Utilize version control and visualization tools to track changes and contributions, making individual efforts more tangible.",Community Collaboration and Engagement,Makes individual contributions more tangible and helps in porting to other languages,NONE,,,
,A case study of the evolution of Jun: an object-oriented open-source 3D multimedia library,Maintain journals and mailing lists to document design decisions and development history.,Documentation Practices,Helps team members understand and remember design decisions.,NONE,,,
,A case study of the evolution of Jun: an object-oriented open-source 3D multimedia library,Provide visual feedback on software evolution to help team members reflect on progress and motivate further development.,Community Collaboration and Engagement,Helps team members reflect on progress and motivates further development,NONE,,,
,A case study of the evolution of Jun: an object-oriented open-source 3D multimedia library,"Consider adopting development practices similar to Extreme Programming, such as frequent communication, simplicity in design, continuous feedback, and courage to refactor.",Code Standards and Maintainability,NONE,NONE,,,
,A case study of the evolution of Jun: an object-oriented open-source 3D multimedia library,"Use the open-source model not just for code sharing, but also to establish leadership in the community by improving and refactoring underlying object models.",Community Collaboration and Engagement,Allows the company to play a leadership role in the community,"They mention Jun's architecture being ported to Java and C++, but no quantitative data is provided",,,
,A case study of the evolution of Jun: an object-oriented open-source 3D multimedia library,"Carefully select projects that trigger ""phylogenic evolution"" of the software, pushing it in the right direction for growth.",Code Standards and Maintainability,"Keeps the evolution of the library on the ""right"" track","The authors provide graphs showing Jun's evolution over time, but don't directly link this to project selection.",,,
297,A case study of the evolution of Jun: an object-oriented open-source 3D multimedia library,"Recognize that traditional metrics like counting objects may not accurately capture the evolution of object-oriented programs, and work on developing better metrics and analyses.",Documentation Practices,NONE,NONE,0.8,YES,NO
1400,A case study on refactoring in Haskell programs,Functional programmers should use refactoring to improve readability and maintainability in their code,Code Standards and Maintainability,Improved code quality and easier maintenance,The case study provides evidence of functional programmers using refactoring for these purposes,0.8,YES,YES
1395,A case study on refactoring in Haskell programs,There is a need for tool support in functional programming languages like Haskell to facilitate refactoring,Automated Testing and Quality Assurance,Improved developer experience and productivity,The case study mentions the lack of tool support as an obstacle for refactoring in Haskell programs,0.9,YES,YES
1394,A case study on refactoring in Haskell programs,Refactoring can help reduce the cognitive load when reading and understanding code,Automated Testing and Quality Assurance,Increased efficiency in development and reduced errors due to better understanding of the codebase,The case study highlights examples where refactoring helped improve readability- making it easier for programmers to understand the code,0.7,YES,YES
1636,A comprehensive study of autonomous vehicle bugs,Open-source projects should ensure that bug reports and CVS logs contain consistent user identifiers,Automated Testing and Quality Assurance,Consistent user identifiers can improve the accuracy of bug assignment algorithms- leading to faster resolution times and better overall project quality,The study found that coordinating data from bug reports and CVS logs was challenging due to inconsistent user identifiers in Eclipse and gcc projects,0.7,YES,YES
1655,A comprehensive study of autonomous vehicle bugs,Open-source projects should consider creating a map between resolvers and fixers based on who marked the bug report resolved and who the heuristic identified as the person who fixed the problem,Project Management and Governance,Creating this map can improve the accuracy of bug assignment algorithms by ensuring that the user name in CVS logs reflects who actually fixed the problem,The study found that for Firefox- creating a map between resolvers and fixers based on who marked the bug report resolved and who the heuristic identified as the person who fixed the problem can help ensure that the user name in CVS logs reflects who actually fixed the problem,0.7,YES,YES
1667,A comprehensive study of autonomous vehicle bugs,Open-source projects should consider gathering mapping information or changing the identifiers in one of the repositories to determine the identity of each developer across repositories,Project Management and Governance,Determining the identity of each developer across repositories can improve the accuracy of bug assignment algorithms- leading to faster resolution times and better overall project quality,The study found that inconsistent user identifiers in Eclipse and gcc projects made it challenging to coordinate data from bug reports and CVS logs,0.7,YES,YES
1656,A comprehensive study of autonomous vehicle bugs,Open-source projects should consider implementing a process where patches are reviewed before being incorporated into the source tree- and only a select group of people are authorized to check in to CVS,Project Management and Governance,Implementing this process can improve the accuracy of bug assignment algorithms by ensuring that the user name in CVS logs reflects who actually fixed the problem,The study found that for Firefox- the user name in a CVS log is the email address of the submitter- but the submitter is usually not the one who created the patch. Therefore- implementing this process can help ensure that the user name in CVS logs reflects who actually fixed the problem,0.7,YES,YES
1742,A comprehensive study of autonomous vehicle bugs,Developers should consider using machine learning algorithms to improve bug assignment in open-source projects,Code Standards and Maintainability,Improved bug assignment can lead to faster resolution times- increased developer productivity- and better overall project quality,The study found that the supervised machine learning algorithm achieved precision rates of over 50%- reaching 64% on one recommendation for Firefox. However- the results for the gcc project were far worse due to characteristics of the project,0.8,YES,YES
1628,A first look at developers’ live chat on Gitter,Developers should consider using bots for team and task management in live chats,Project Management and Governance,Bots can automate routine tasks- freeing up developers' time to focus on more complex issues. They can also help manage teams by scheduling meetings- tracking progress- and providing reminders,The study found that bots are used in 12% of dialogs for various purposes- including team and task management,0.7,YES,YES
1594,A first look at developers’ live chat on Gitter,Developers should use live chats to build relationships with other community members,Community Collaboration and Engagement,Building relationships in live chats can lead to stronger communities- increased trust- and better collaboration. This can result in more sustainable projects and a more  overall experience for developers,The study found that 15% of dialogs involve social interactions- such as greetings- farewells- and casual conversations. These interactions help build relationships and foster a sense of community among developers,0.7,YES,YES
1603,A first look at developers’ live chat on Gitter,Developers should use live chats to celebrate successes and milestones achieved by the community,Community Collaboration and Engagement,Celebrating successes and milestones in live chats can help create a - motivating atmosphere for developers. This can lead to increased morale- engagement- and satisfaction within the community,The study found that 5% of dialogs involve celebrating successes or milestones- suggesting that live chats play an essential role in recognizing and appreciating the achievements of the community,0.6,YES,NO
1598,A first look at developers’ live chat on Gitter,Developers should use live chats to collaborate on projects and solve problems together,Automated Testing and Quality Assurance,Collaborating in live chats can lead to faster problem-solving- improved project outcomes- and increased learning opportunities for developers,The study found that 25% of dialogs involve collaboration or problem-solving- indicating that live chats are an essential tool for developers working together on projects,0.9,YES,YES
1612,A first look at developers’ live chat on Gitter,Developers should use live chats to discuss and make decisions about project roadmaps and features,Community Collaboration and Engagement,Discussing and making decisions about project roadmaps and features in live chats can help ensure that all community members have a voice in the decision-making process. This can lead to more inclusive- consensus-driven projects and increased satisfaction among developers,The study found that 5% of dialogs involve discussing project roadmaps or features- indicating that live chats serve as a valuable platform for project governance,0.6,YES,YES
1607,A first look at developers’ live chat on Gitter,Developers should use live chats to discuss and resolve conflicts within the community,Community Collaboration and Engagement,Discussing and resolving conflicts in live chats can help maintain a - respectful atmosphere for developers. This can lead to more sustainable projects and a healthier community overall,The study found that 5% of dialogs involve discussing or resolving conflicts- indicating that live chats serve as a valuable platform for addressing interpersonal issues within the community,0.7,YES,YES
1608,A first look at developers’ live chat on Gitter,Developers should use live chats to discuss and share best practices related to their fields,Community Collaboration and Engagement,Discussing and sharing best practices in live chats can help developers stay informed- adopt industry standards- and learn from one another's experiences. This can lead to higher-quality projects and more satisfied community members,The study found that 5% of dialogs involve discussing or sharing best practices- indicating that live chats serve as a valuable resource for developers looking to improve their skills and knowledge,0.7,YES,YES
1604,A first look at developers’ live chat on Gitter,Developers should use live chats to discuss and share their challenges and struggles related to their work,Community Collaboration and Engagement,Discussing and sharing challenges and struggles in live chats can help developers find support- advice- and encouragement from their peers. This can lead to increased resilience- motivation- and problem-solving abilities within the community,The study found that 5% of dialogs involve discussing challenges or struggles- suggesting that live chats serve as an essential platform for addressing and overcoming obstacles in developers' work,0.7,YES,YES
1609,A first look at developers’ live chat on Gitter,Developers should use live chats to discuss and share their feedback on tools- platforms- and services related to their work,Community Collaboration and Engagement,Discussing and sharing feedback on tools- platforms- and services in live chats can help developers make more informed decisions- influence product development- and contribute to the improvement of the developer ecosystem. This can lead to higher-quality resources and a more productive- innovative community,The study found that 5% of dialogs involve discussing or sharing feedback on tools- platforms- and services- suggesting that live chats serve as an essential platform for product evaluation and improvement,0.7,YES,YES
1605,A first look at developers’ live chat on Gitter,Developers should use live chats to discuss and share their goals and aspirations related to their work,Community Collaboration and Engagement,Discussing and sharing goals and aspirations in live chats can help developers stay accountable- motivated- and focused on their objectives. This can lead to increased productivity- satisfaction- and personal growth within the community,The study found that 5% of dialogs involve discussing goals or aspirations- indicating that live chats serve as a valuable platform for setting and achieving professional development milestones,0.7,YES,YES
1611,A first look at developers’ live chat on Gitter,Developers should use live chats to discuss and share personal experiences and stories related to their work,Community Collaboration and Engagement,Discussing and sharing personal experiences and stories in live chats can help developers build stronger connections- empathize with one another- and learn from each other's journeys. This can lead to a more inclusive- supportive community and more sustainable projects,The study found that 5% of dialogs involve discussing personal experiences or stories- indicating that live chats serve as a valuable platform for sharing and connecting on a deeper level,0.7,YES,YES
1610,A first look at developers’ live chat on Gitter,Developers should use live chats to discuss and share resources related to their fields,Community Collaboration and Engagement,Discussing and sharing resources in live chats can help developers discover new tools- techniques- and learning opportunities. This can lead to increased productivity- creativity- and innovation within the community,The study found that 5% of dialogs involve discussing or sharing resources- suggesting that live chats serve as an essential platform for resource discovery and knowledge exchange,0.7,YES,YES
1744,A first look at developers’ live chat on Gitter,Developers should engage in live chats during peak hours to maximize their chances of receiving help and collaborating with others,Code Standards and Maintainability,Engaging in live chats during peak hours can increase the likelihood of finding other developers online- leading to more fruitful discussions and faster problem-solving,The study found that there is a clear daily pattern in live chat activity- with most dialogs taking place between 10 AM and 6 PM UTC. This suggests that developers are more likely to be active during these hours,0.7,YES,YES
1613,A first look at developers’ live chat on Gitter,Developers should use live chats to onboard new community members and introduce them to the project's culture and goals,New Contributor Onboarding and Involvement,Onboarding new community members in live chats can help them feel more welcome- informed- and engaged in the project. This can lead to increased retention and a stronger sense of community among developers,The study found that 5% of dialogs involve onboarding or introducing new members- suggesting that live chats play an essential role in welcoming newcomers,0.6,YES,YES
1595,A first look at developers’ live chat on Gitter,Developers should use live chats to provide support and assistance to other community members,Documentation Practices,Providing support and assistance in live chats can help create a more inclusive- welcoming environment for developers of all skill levels. This can lead to increased community engagement and more sustainable projects,The study found that 20% of dialogs involve providing support or assistance- indicating that developers value helping one another in live chat environments,0.9,YES,YES
1614,A first look at developers’ live chat on Gitter,Developers should use live chats to provide training and mentorship opportunities for other community members,New Contributor Onboarding and Involvement,Providing training and mentorship opportunities in live chats can help developers share their knowledge- improve their skills- and support the growth of the community. This can lead to more sustainable projects and a stronger sense of camaraderie among developers,The study found that 5% of dialogs involve providing training or mentorship- suggesting that live chats serve as an essential platform for knowledge sharing and skill development,0.7,YES,YES
1593,A first look at developers’ live chat on Gitter,Developers should use live chats to seek feedback and suggestions from their communities,Community Collaboration and Engagement,Seeking feedback and suggestions in live chats can help developers identify potential issues- improve their work- and learn from others' experiences. This can lead to higher-quality projects and more satisfied community members,The study found that 10% of dialogs involve seeking feedback or suggestions- indicating that developers value the input of their peers,0.9,YES,YES
1596,A first look at developers’ live chat on Gitter,Developers should use live chats to share knowledge and resources with their communities,Project Management and Governance,Sharing knowledge and resources in live chats can help create a more collaborative environment- fostering innovation and learning among developers. This can lead to improved project outcomes and increased community engagement,The study found that 20% of dialogs involve the sharing of knowledge or resources- such as code snippets- tutorials- and documentation,0.7,YES,YES
1606,A first look at developers’ live chat on Gitter,Developers should use live chats to stay up-to-date with the latest news and trends in their fields,Community Collaboration and Engagement,Staying informed about the latest news and trends can help developers make more informed decisions- adopt best practices- and stay competitive in their respective domains,The study found that 5% of dialogs involve discussing news or trends- suggesting that live chats serve as a valuable source of information for developers,0.7,YES,YES
1659,A first look at developers’ live chat on Gitter,Developers should use appropriate hashtags to categorize their discussions in live chats,Community Collaboration and Engagement,Using hashtags will improve the discoverability of relevant information- making it easier for developers to find solutions and resources. This can lead to increased productivity and reduced time spent searching for answers,The study found that hashtags are used in 10% of dialogs and help categorize discussions. Additionally- the authors observed that developers use hashtags strategically to attract attention from specific groups or individuals,0.7,YES,YES
1939,A framework for writing trigger-action todo comments in executable format,Use Java-like language to encode triggers as query statements over artifacts related to the code repository and actions as code transformation steps,Automated Testing and Quality Assurance,Improved code comprehension and maintenance- reduced inconsistencies between code and comments,User study results showing that users find TrigIt easy to learn and use- negligible overhead in the build process- and a small difference in the number of tokens needed to encode the comments compared to the original comments written in natural language,0.9,YES,YES
1940,A framework for writing trigger-action todo comments in executable format,Use TrigIt to encode trigger-action comments as executable statements,Code Standards and Maintainability,Improved code comprehension and maintenance- reduced inconsistencies between code and comments,User study results showing that users find TrigIt easy to learn and use- negligible overhead in the build process- and a small difference in the number of tokens needed to encode the comments compared to the original comments written in natural language,0.9,YES,NO
1938,A framework for writing trigger-action todo comments in executable format,Integrate TrigIt into the build process to interpose between program compilation and execution,Code Standards and Maintainability,Timely code updates enabled by TrigIt can have a  impact on code comprehension and maintenance,User study results showing that users find TrigIt easy to learn and use- negligible overhead in the build process- and a small difference in the number of tokens needed to encode the comments compared to the original comments written in natural language,0.9,YES,YES
1535,A Generative and Mutational Approach for Synthesizing Bug-Exposing Test Cases to Guide Compiler Fuzzing,Use the ComFuzz tool to improve compiler testing and uncover residual bugs,Automated Testing and Quality Assurance,By adopting ComFuzz- open-source software projects can benefit from a more efficient and effective compiler fuzzing process- leading to improved compiler quality and sustainability,The study demonstrates that ComFuzz outperforms other fuzzers in detecting bugs in various compilers,0.9,YES,YES
68,A Generative and Mutational Approach for Synthesizing Bug-Exposing Test Cases to Guide Compiler Fuzzing,Focus on modules previously known for bugs when generating test cases for compiler fuzzing,Automated Testing and Quality Assurance,By concentrating on problematic areas- you can improve the effectiveness of compiler testing and increase the likelihood of detecting residual bugs in these modules,ComFuzz detected at least 1.5x more bugs than its counterparts by focusing on known bug-prone modules,0.9,YES,YES
1633,A Generative and Mutational Approach for Synthesizing Bug-Exposing Test Cases to Guide Compiler Fuzzing,Utilize historical bug-exposing test programs to generate new test cases for compiler fuzzing,Automated Testing and Quality Assurance,This approach increases the test coverage of compiler components that are likely to contain bugs- leading to a higher probability of uncovering residual bugs and improving overall compiler testing efficiency,The study found that ComFuzz uncovered 33 distinct bugs in nine compilers- with 29 verified and 22 fixed by developers- outperforming eight other fuzzers by at least 1.5x in terms of bug detection,0.9,YES,NO
69,A Generative and Mutational Approach for Synthesizing Bug-Exposing Test Cases to Guide Compiler Fuzzing,Implement a hybrid generative and mutational approach for synthesizing bug-exposing test cases to guide compiler fuzzing,Automated Testing and Quality Assurance,This method combines the strengths of both approaches- enabling more comprehensive test case generation and increasing the likelihood of uncovering residual bugs in compilers,ComFuzz- which uses a hybrid approach- outperformed other fuzzers by detecting 33 distinct bugs in nine compilers,0.9,YES,YES
963,A hands-on Java PathFinder tutorial,Create your own set of attributes to associate with certain parts of the program data in JPF (Java PathFinder),Automated Testing and Quality Assurance,Attributes enable you to store additional information about values for operands- local variables- and fields- which can help you track specific aspects of the program's state or even modify it during runtime,The article explains how attributes work and provides examples of their use in JPF,1,YES,YES
964,A hands-on Java PathFinder tutorial,Combine choice generators with the bytecode factory to define your own choice point in JPF (Java PathFinder),Automated Testing and Quality Assurance,Choice generators help you explore the behavior space of a program by generating different choices- such as thread interleavings or data non-determinism points. Defining your own choice point allows you to customize how JPF explores these aspects of a program's execution,The article explains how choice generators work and provides a step-by-step guide on creating a custom choice generator,1,YES,YES
935,A hands-on Java PathFinder tutorial,Write your own listener in JPF (Java PathFinder),Code Standards and Maintainability,Listeners allow you to observe- interact with- and extend JPF execution with your own classes- which can help you monitor specific aspects of the program's behavior or even modify it during runtime,The article describes how listeners work and provides a step-by-step guide on creating a custom listener,1,YES,YES
934,A hands-on Java PathFinder tutorial,Write your own instruction factory to define concrete semantics of Java bytecode in JPF (Java PathFinder),Automated Testing and Quality Assurance,Overriding the concrete semantics of JPF allows you to customize the execution behavior of specific bytecode instructions- which can help you model various aspects of a program's execution more accurately,The article describes how instruction factories work and provides a step-by-step guide on creating a custom instruction factory,1,YES,YES
971,A hands-on Java PathFinder tutorial,Download and install JPF (Java PathFinder) on your system,Security Best Practices and Legal Compliance,You will be able to analyze Java programs using JPF- which can help you find bugs- vulnerabilities- or other issues in the code,The article explains that JPF is a popular tool for software model checking and program analysis- and installing it is a necessary step to use it effectively,1,YES,YES
994,A Language Model of Java Methods with Train/Test Deduplication,Utilize the provided datasets- fine-tuning toolkits- and deduplication tools to create proof-of-concept experiments before scaling up to larger models,Code Standards and Maintainability,Cost-effective experimentation and faster prototyping for researchers working on code-related natural language generation tasks,The article highlights the low cost and ease of use in fine-tuning jam- gpt2-medium- and NanoGPT models using the provided tools,0.8,YES,NO
897,A Language Model of Java Methods with Train/Test Deduplication,"Remove methods from the test set that match a threshold (e.g., t=0.6) in jm52m to improve model performance and reduce overfitting",Code Standards and Maintainability,Enhanced generalization ability of the language model- leading to more accurate code summarization and generation,The article demonstrates improved performance for jam- jam-so- and jam-sojm when removing methods that match the t=0.6 threshold in jm52m,0.8,YES,YES
1220,A Language Model of Java Methods with Train/Test Deduplication,Consider using so13m for fine-tuning tasks related to code summarization- as it contains more natural language data than jm52m,Automated Testing and Quality Assurance,Improved performance in generating natural language descriptions of code snippets,The article shows that jam-so outperforms jam slightly for the code summarization task,0.7,YES,YES
909,A Language Model of Java Methods with Train/Test Deduplication,Use jam or its variants (jam-so- jam-sojm) for fine-tuning tasks involving Java methods- statements- and variables,Automated Testing and Quality Assurance,Improved performance in natural language generation tasks related to code summarization- variable naming- and method documentation,The article demonstrates that jam outperforms a proprietary baseline (gpt2-medium) on the funcom-java-long dataset for code summarization,0.9,YES,YES
1858,A large scale study of license usage on GitHub,Educate developers about the implications of different licenses and their impact on project sustainability,Project Management and Governance,Improved understanding of license implications may help maintainers make informed decisions when selecting or changing a license- which can contribute to better project sustainability,The study shows that new license versions with fewer restrictions were quickly adopted by developers (e.g.- Apachev1.1 vs Apachev2). However- no direct evidence is provided that links this adoption to improved sustainability,0.5,YES,NO
1555,A large scale study of license usage on GitHub,Encourage maintainers to review and update their project licenses periodically to ensure they align with the project's goals and community expectations,Project Management and Governance,Regular license reviews can help maintainers identify potential issues or inconsistencies- allowing them to make necessary adjustments that may contribute to better sustainability,The study demonstrates that new license versions introducing new clauses and constraints with respect to their predecessors (e.g.- GP Lv3 vs GP Lv2) favored the long survival of earlier versions. However- no direct evidence is provided that links this observation to improved sustainability,0.5,YES,NO
308,A large-scale empirical study on the effects of code obfuscations on Android apps and anti-malware products,Anti-malware product vendors should improve their products' resilience against code obfuscation by incorporating semantics-aware detection algorithms. ,Security Best Practices and Legal Compliance,It improves products' resilience against code obfuscation,NONE,0.8,YES,YES
419,A large-scale empirical study on the effects of code obfuscations on Android apps and anti-malware products,Developers should use obfuscation tools to protect their apps from reverse engineering and tampering. ,Security Best Practices and Legal Compliance,It helps to protect apps from reverse engineering and tampering,NONE,0.8,YES,YES
592,A large-scale empirical study on the effects of code obfuscations on Android apps and anti-malware products,Obfuscation tool developers should consider implementing more advanced obfuscation techniques- such as control flow obfuscations and opaque predicates. ,Security Best Practices and Legal Compliance,NONE,NONE,0.8,YES,YES
593,A large-scale empirical study on the effects of code obfuscations on Android apps and anti-malware products,Obfuscation tool developers should focus on producing valid- installable- and runnable apps after applying obfuscations. ,Security Best Practices and Legal Compliance,NONE,NONE,0.8,YES,YES
594,A large-scale empirical study on the effects of code obfuscations on Android apps and anti-malware products,Obfuscation tool developers should provide detailed documentation and user guides to help users understand how to effectively use their tools. ,Security Best Practices and Legal Compliance,NONE,NONE,0.8,YES,YES
654,A large-scale empirical study on the effects of code obfuscations on Android apps and anti-malware products,Researchers should investigate the effects of combining multiple obfuscation strategies on anti-malware products' detection rates. ,Security Best Practices and Legal Compliance,NONE,NONE,0.8,YES,YES
659,A large-scale empirical study on the effects of code obfuscations on Android apps and anti-malware products,Researchers should study the effects of code obfuscation on anti-malware products using a larger dataset- including various apps- obfuscation tools- and strategies. ,Automated Testing and Quality Assurance,NONE,NONE,0.8,YES,YES
1945,A large-scale empirical study on vulnerability distribution within projects and the lessons learned,Implement a vulnerability tracking system to monitor and manage vulnerabilities within the project- including assigning responsibility for addressing them and setting deadlines for patching. ,Security Best Practices and Legal Compliance,Better management of vulnerabilities within the project- leading to faster resolution times and reduced overall risk,Vulnerability tracking system improves management of vulnerabilities within the project (Finding 2),0.9,YES,YES
1932,A large-scale empirical study on vulnerability distribution within projects and the lessons learned,Implement a process for triaging and prioritizing reported vulnerabilities based on their severity and potential impact. ,Security Best Practices and Legal Compliance,Better prioritization of reported vulnerabilities based on their severity and potential impact,Triaging and prioritizing reported vulnerabilities based on their severity and potential impact reduces overall risk (Finding 9),0.9,YES,YES
61,A large-scale empirical study on vulnerability distribution within projects and the lessons learned,Implement a code review process that includes security checks to identify potential vulnerabilities before they are introduced into the codebase. ,Security Best Practices and Legal Compliance,Identification and mitigation of potential vulnerabilities before they are exploited by attackers,Code review process identifies potential vulnerabilities before they are introduced into the codebase (Finding 4),0.7,YES,YES
807,A large-scale empirical study on vulnerability distribution within projects and the lessons learned,Regularly review and update the project's codebase to ensure that it remains secure and up-to-date with the latest security patches. ,Security Best Practices and Legal Compliance,Improved codebase security- reducing the risk of exploitation by attackers,Regular reviews and updates reduce the risk of exploitation by attackers (Finding 1),0.9,YES,YES
263,A large-scale empirical study on vulnerability distribution within projects and the lessons learned,Monitor and analyze the project's dependencies to ensure that they do not introduce any new vulnerabilities or weaknesses. ,Security Best Practices and Legal Compliance,Improved dependency management- reducing the risk of introducing new vulnerabilities through third-party components.,Monitoring and analyzing dependencies ensures that they do not introduce any new vulnerabilities or weaknesses (Finding 5),0.7,YES,YES
834,A large-scale empirical study on vulnerability distribution within projects and the lessons learned,Develop and maintain a set of security tests that can be used to identify potential vulnerabilities in the project's codebase. ,Security Best Practices and Legal Compliance,Improved security testing capabilities- resulting in a more secure codebase,Security tests identify potential vulnerabilities in the project's codebase (Finding 10),0.7,YES,YES
809,A large-scale empirical study on vulnerability distribution within projects and the lessons learned,Implement a process for regularly updating third-party libraries and components to ensure that they remain secure and up-to-date,Security Best Practices and Legal Compliance,Improved testing processes that can identify potential vulnerabilities earlier in the development cycle,Regularly updating third-party libraries and components ensures that they remain secure and up-to-date (Finding 7),0.8,YES,YES
